PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
19,6131|613|61|6,1.613119.434,תקוני מבנים  מתקנים ואינונטר,,,,5000,
15,6131|613|61|6,1.613115.439,אחזקת בניני העיריה0השתתפות,,,,380000,
13,6131|613|61|6,1.613113.461,צרכי משרד,,,,20000,
14,6131|613|61|6,1.613114.462,ספרים ועתונים,,,,6000,
15,6131|613|61|6,1.613115.463,טלפונים,,,,13000,
16,6131|613|61|6,1.613116.464,דאר,,,,6000,
14,6131|613|61|6,1.613114.510,נסיעות  ואש ל,,,,1000,
17,6131|613|61|6,1.613117.521,הדרכה וכנסים,,,,10000,
18,6131|613|61|6,1.613118.522,גיבוש יחידתי,,,,2000,
19,6131|613|61|6,1.613119.531,אחזקת רכב,,,,15000,
12,6131|613|61|6,1.613112.533,שכירת רכב ורכב עירוני,,,,105000,
13,6131|613|61|6,1.613113.534,דלק ושמן,,,,68000,
12,6131|613|61|6,1.613112.541,אחזקת מכשירי קשר,,,,31000,
17,6131|613|61|6,1.613117.610,כבודים,,,,33000,
16,6131|613|61|6,1.613116.691,מערכות מידע ומחשוב,,,,110000,
18,6131|613|61|6,1.613118.693,מחשוב יחידתי,,,,12000,
13,6131|613|61|6,1.613113.753,הוצאות שונות,,,,13000,
14,6131|613|61|6,1.613114.932,ציוד ורהוט משרדי,,,,10000,
26,6131|613|61|6,1.613126.110,משכורת כוללת,,,,2142000,
23,6131|613|61|6,1.613123.124,החזר הוצאות,,,,91000,
25,6131|613|61|6,1.613125.126,הבראה,,,,91000,
26,6131|613|61|6,1.613126.127,השתתפות באחזקת רכב 0 12,,,,319000,
21,6131|613|61|6,1.613121.130,תשלומים מיוחדים,,,,223000,
29,6131|613|61|6,1.613129.170,סעיף שאינו חוזר,,,,0,
23,6131|613|61|6,1.613123.181,מיסים וביטוח לאומי,,,,379000,
24,6131|613|61|6,1.613124.182,קופות גמל והשתלמות,,,,296000,
23,6131|613|61|6,1.613123.310,שעות נוספות רשומות,,,,59000,
28,6131|613|61|6,1.613128.412,מיסים ואגרות,,,,1000,
24,6131|613|61|6,1.613124.433,ביטוח,,,,33000,
25,6131|613|61|6,1.613125.434,תקוני מבנים  מתקנים ואינונטר,,,,4000,
21,6131|613|61|6,1.613121.439,אחזקת בניני העיריה0השתתפות,,,,120000,
28,6131|613|61|6,1.613128.461,צרכי משרד,,,,10000,
29,6131|613|61|6,1.613129.462,ספרים ועתונים,,,,7000,
21,6131|613|61|6,1.613121.463,טלפונים,,,,12000,
22,6131|613|61|6,1.613122.464,דאר,,,,1000,
23,6131|613|61|6,1.613123.521,הדרכה וכנסים,,,,100000,
24,6131|613|61|6,1.613124.522,גיבוש יחידתי,,,,4000,
25,6131|613|61|6,1.613125.531,אחזקת רכב,,,,10000,
27,6131|613|61|6,1.613127.533,שכירת רכב ורכב עירוני,,,,124000,
28,6131|613|61|6,1.613128.534,דלק ושמן,,,,59000,
27,6131|613|61|6,1.613127.541,אחזקת מכשירי קשר,,,,12000,
23,6131|613|61|6,1.613123.610,כבודים,,,,12000,
26,6131|613|61|6,1.613126.670,סעיף שאינו חוזר,,,,0,
22,6131|613|61|6,1.613122.691,מערכות מידע ומחשוב,,,,405000,
24,6131|613|61|6,1.613124.693,מחשוב יחידתי,,,,10000,
26,6131|613|61|6,1.613126.751,יעוץ מקצועי,,,,200000,
27,6131|613|61|6,1.613127.752,מתודולוגיה לניהול פרוייקטים,,,,180000,
24,6131|613|61|6,1.613124.782,הוצאות שונות,,,,8000,
26,6131|613|61|6,1.613126.784,ניהול ידע,,,,195000,
27,6131|613|61|6,1.613127.785,עירייה זמינה,,,,260000,
24,6131|613|61|6,1.613124.790,עתודת הסמנכ ל,,,,300000,
29,6131|613|61|6,1.613129.932,ציוד ורהוט משרדי,,,,3000,
32,6131|613|61|6,1.613132.110,משכורת כוללת,,,,2424000,
38,6131|613|61|6,1.613138.124,החזר הוצאות,,,,110000,
31,6131|613|61|6,1.613131.126,הבראה,,,,83000,
32,6131|613|61|6,1.613132.127,השתתפות באחזקת רכב0 14,,,,413000,
36,6131|613|61|6,1.613136.130,תשלומים מיוחדים,,,,249000,
38,6131|613|61|6,1.613138.181,מיסים וביטוח לאומי,,,,434000,
39,6131|613|61|6,1.613139.182,קופות גמל והשתלמות,,,,412000,
38,6131|613|61|6,1.613138.310,שעות נוספות רשומות,,,,75000,
39,6131|613|61|6,1.613139.433,ביטוח,,,,34000,
31,6131|613|61|6,1.613131.434,תקוני מבנים  מתקנים ואינונטר,,,,2000,
36,6131|613|61|6,1.613136.439,אחזקת בניני העיריה0השתתפות,,,,130000,
34,6131|613|61|6,1.613134.461,צרכי משרד,,,,20000,
35,6131|613|61|6,1.613135.462,ספרים ועתונים,,,,6000,
36,6131|613|61|6,1.613136.463,טלפונים,,,,7000,
37,6131|613|61|6,1.613137.464,דאר,,,,2000,
35,6131|613|61|6,1.613135.510,נסיעות  ואש ל,,,,1000,
38,6131|613|61|6,1.613138.521,הדרכה וכנסים,,,,34000,
39,6131|613|61|6,1.613139.522,גיבוש יחידתי,,,,1000,
31,6131|613|61|6,1.613131.531,אחזקת רכב,,,,3000,
33,6131|613|61|6,1.613133.533,שכירת רכב,,,,56000,
34,6131|613|61|6,1.613134.534,דלק ושמן,,,,27000,
33,6131|613|61|6,1.613133.541,אחזקת מכשירי קשר,,,,12000,
38,6131|613|61|6,1.613138.610,כבודים,,,,15000,
32,6131|613|61|6,1.613132.670,סעיף שאינו חוזר,,,,0,
39,6131|613|61|6,1.613139.782,הוצאות שונות,,,,17000,
31,6131|613|61|6,1.613131.783,פעילות בנושא בטיחות,,,,100000,
32,6131|613|61|6,1.613132.784,אקלים ארגוני,,,,280000,
39,6131|613|61|6,1.613139.790,עתודת סמנכ ל,,,,310000,
31,6131|613|61|6,1.613131.831,השתתפות לבית הדין הארצי למשמעת,,,,133000,
35,6131|613|61|6,1.613135.932,ציוד ורהוט משרדי,,,,10000,
47,6131|613|61|6,1.613147.110,משכורת כוללת,,,,1689000,
44,6131|613|61|6,1.613144.124,החזר הוצאות,,,,75000,
46,6131|613|61|6,1.613146.126,הבראה,,,,56000,
47,6131|613|61|6,1.613147.127,השתתפות באחזקת רכב 0 9,,,,233000,
42,6131|613|61|6,1.613142.130,תשלומים מיוחדים,,,,171000,
44,6131|613|61|6,1.613144.181,מיסים וביטוח לאומי,,,,303000,
45,6131|613|61|6,1.613145.182,קופות גמל והשתלמות,,,,239000,
44,6131|613|61|6,1.613144.310,שעות נוספות רשומות,,,,114000,
45,6131|613|61|6,1.613145.433,ביטוח,,,,25000,
46,6131|613|61|6,1.613146.434,תקוני מבנים  מתקנים ואינונטר,,,,6000,
42,6131|613|61|6,1.613142.439,אחזקת בניני העיריה0השתתפות,,,,150000,
49,6131|613|61|6,1.613149.461,צרכי משרד,,,,20000,
41,6131|613|61|6,1.613141.462,ספרים ועתונים,,,,6000,
42,6131|613|61|6,1.613142.463,טלפונים,,,,5000,
43,6131|613|61|6,1.613143.464,דאר,,,,1000,
44,6131|613|61|6,1.613144.521,הדרכה וכנסים,,,,105000,
45,6131|613|61|6,1.613145.522,גיבוש יחידתי,,,,5000,
46,6131|613|61|6,1.613146.531,אחזקת רכב,,,,6000,
48,6131|613|61|6,1.613148.533,שכירת רכב,,,,52000,
49,6131|613|61|6,1.613149.534,דלק ושמן,,,,18000,
48,6131|613|61|6,1.613148.541,אחזקת מכשירי קשר,,,,14000,
44,6131|613|61|6,1.613144.610,כבודים,,,,12000,
45,6131|613|61|6,1.613145.693,מחשוב יחידתי,,,,55000,
44,6131|613|61|6,1.613144.757,אמנת שירות העסקת שוטרים,,,,560000,
44,6131|613|61|6,1.613144.781,הוצאות שונות,,,,20000,
45,6131|613|61|6,1.613145.782,שיתוף הציבור,,,,270000,
46,6131|613|61|6,1.613146.783,ועדת בטיחות חטיבתית,,,,5000,
48,6131|613|61|6,1.613148.785,שיווק והפצת מידע,,,,20000,
49,6131|613|61|6,1.613149.786,פרס צוות חסכני מצטיין,,,,10000,
45,6131|613|61|6,1.613145.790,עתודת חטיבת התפעול,,,,1500000,
43,6131|613|61|6,1.613143.861,פרוייקט מציל ה0 יובל חינוך,,,,340000,
41,6131|613|61|6,1.613141.932,ציוד ורהוט משרדי,,,,5000,
68,6131|613|61|6,1.613168.110,משכורת כוללת,,,,2152000,
65,6131|613|61|6,1.613165.124,החזר הוצאות,,,,115000,
67,6131|613|61|6,1.613167.126,הבראה,,,,93000,
68,6131|613|61|6,1.613168.127,השתתפות באחזקת רכב 0 16,,,,405000,
63,6131|613|61|6,1.613163.130,תשלומים מיוחדים,,,,311000,
65,6131|613|61|6,1.613165.181,מיסים וביטוח לאומי,,,,408000,
66,6131|613|61|6,1.613166.182,קופות גמל והשתלמות,,,,425000,
65,6131|613|61|6,1.613165.310,שעות נוספות רשומות,,,,71000,
66,6131|613|61|6,1.613166.433,ביטוח,,,,41000,
67,6131|613|61|6,1.613167.434,תקוני מבנים  מתקנים ואינונטר,,,,2000,
63,6131|613|61|6,1.613163.439,אחזקת בניני העיריה0השתתפות,,,,170000,
61,6131|613|61|6,1.613161.461,צרכי משרד,,,,20000,
62,6131|613|61|6,1.613162.462,ספרים ועתונים,,,,4000,
63,6131|613|61|6,1.613163.463,טלפונים,,,,5000,
64,6131|613|61|6,1.613164.464,דאר,,,,9000,
62,6131|613|61|6,1.613162.510,נסיעות  ואש ל,,,,3000,
65,6131|613|61|6,1.613165.521,הדרכה וכנסים,,,,32000,
66,6131|613|61|6,1.613166.522,גיבוש יחידתי,,,,3000,
67,6131|613|61|6,1.613167.531,אחזקת רכב,,,,3000,
69,6131|613|61|6,1.613169.533,שכירת רכב ורכב עירוני,,,,39000,
61,6131|613|61|6,1.613161.534,דלק ושמן,,,,24000,
69,6131|613|61|6,1.613169.541,אחזקת מכשירי קשר,,,,16000,
65,6131|613|61|6,1.613165.610,כבודים,,,,14000,
64,6131|613|61|6,1.613164.691,מערכות מידע ומחשוב,,,,750000,
66,6131|613|61|6,1.613166.693,מחשוב יחידתי,,,,20000,
68,6131|613|61|6,1.613168.751,העסקת גו ח,,,,290000,
65,6131|613|61|6,1.613165.781,פעולות לשיפור השירות,,,,1740000,
66,6131|613|61|6,1.613166.782,מרכז השירות העירוני,,,,50000,
67,6131|613|61|6,1.613167.783,הוצאות שונות,,,,5000,
68,6131|613|61|6,1.613168.784,דו ח ממונה תלונות הציבור למועצה,,,,10000,
69,6131|613|61|6,1.613169.785,פיתוח ניהול השירות,,,,150000,
63,6131|613|61|6,1.613163.788,תגמול עובדים מצטיינים בשירות,,,,40000,
62,6131|613|61|6,1.613162.932,ציוד ורהוט משרדי,,,,10000,
62,6131|613|61|6,1.613162.981,רכישות שונות,,,,40000,
74,6131|613|61|6,1.613174.110,משכורת כוללת,,,,272000,
71,6131|613|61|6,1.613171.124,החזר הוצאות,,,,12000,
73,6131|613|61|6,1.613173.126,הבראה,,,,10000,
74,6131|613|61|6,1.613174.127,השתתפות באחזקת רכב0 2,,,,58000,
78,6131|613|61|6,1.613178.130,תשלומים מיוחדים,,,,30000,
75,6131|613|61|6,1.613175.411,שכר דירה,,,,454000,
73,6131|613|61|6,1.613173.434,תקוני מבנים  מתקנים ואינונטר,,,,2000,
74,6131|613|61|6,1.613174.435,חשמל ואנרגיה,,,,20000,
75,6131|613|61|6,1.613175.436,נקיון,,,,16000,
76,6131|613|61|6,1.613176.461,צרכי משרד,,,,9000,
77,6131|613|61|6,1.613177.462,ספרים ועתונים,,,,2000,
78,6131|613|61|6,1.613178.463,טלפונים,,,,7000,
79,6131|613|61|6,1.613179.464,דאר,,,,2000,
77,6131|613|61|6,1.613177.510,נסיעות ואשל,,,,2000,
71,6131|613|61|6,1.613171.521,הדרכה וכנסים,,,,2000,
72,6131|613|61|6,1.613172.522,גיבוש יחידתי,,,,1000,
75,6131|613|61|6,1.613175.541,אחזקת מכשירי קשר,,,,2000,
71,6131|613|61|6,1.613171.610,כיבודים,,,,5000,
74,6131|613|61|6,1.613174.670,סעיף שאינו חוזר,,,,0,
79,6131|613|61|6,1.613179.691,מערכות מידע ומחשוב,,,,10000,
72,6131|613|61|6,1.613172.693,מחשוב יחידתי,,,,5000,
74,6131|613|61|6,1.613174.751,ייעוץ0העסקת גו ח,,,,400000,
76,6131|613|61|6,1.613176.753,עבודות ע י גו ח 0 שליחויות,,,,15000,
71,6131|613|61|6,1.613171.781,ביטוח הרכוש והתכולה,,,,3100000,
72,6131|613|61|6,1.613172.782,חבות מעבידים,,,,690000,
77,6131|613|61|6,1.613177.932,ציוד ורהוט משרדי,,,,6000,
89,6131|613|61|6,1.613189.110,משכורת כוללת,,,,1706000,
86,6131|613|61|6,1.613186.124,החזר הוצאות,,,,170000,
88,6131|613|61|6,1.613188.126,הבראה,,,,162000,
89,6131|613|61|6,1.613189.127,השתתפות באחזקת רכב 0 8,,,,240000,
84,6131|613|61|6,1.613184.130,תשלומים מיוחדים,,,,596000,
86,6131|613|61|6,1.613186.181,מיסים וביטוח לאומי,,,,373000,
87,6131|613|61|6,1.613187.182,קופות גמל והשתלמות,,,,343000,
86,6131|613|61|6,1.613186.310,שעות נוספות רשומות,,,,10000,
87,6131|613|61|6,1.613187.433,ביטוח,,,,65000,
82,6131|613|61|6,1.613182.461,צרכי משרד,,,,70000,
84,6131|613|61|6,1.613184.463,טלפונים,,,,100000,
85,6131|613|61|6,1.613185.464,דאר,,,,300000,
83,6131|613|61|6,1.613183.510,נסיעות  ואש ל,,,,1000,
87,6131|613|61|6,1.613187.522,גיבוש יחידתי,,,,3000,
81,6131|613|61|6,1.613181.541,אחזקת מכשירי קשר,,,,5000,
86,6131|613|61|6,1.613186.610,כיבודים,,,,3000,
89,6131|613|61|6,1.613189.670,סעיף שאינו חוזר,,,,0,
89,6131|613|61|6,1.613189.751,שליחויות  איתורים וחקירות,,,,70000,
81,6131|613|61|6,1.613181.752,השתתפות בעלות שכר שופטים,,,,2210000,
82,6131|613|61|6,1.613182.753,השתתפות באחזקת בנין בית המשפט,,,,260000,
83,6131|613|61|6,1.613183.754,השתתפות בעלות שכר קלדניות,,,,330000,
86,6131|613|61|6,1.613186.781,אכיפת גבית חובות מפס ד ע י ג ח,,,,50000,
83,6131|613|61|6,1.613183.932,ציוד וריהוט משרדי,,,,3000,
14,6133|613|61|6,1.613314.110,משכורת כוללת,,,,498000,
11,6133|613|61|6,1.613311.124,החזר הוצאות,,,,28000,
13,6133|613|61|6,1.613313.126,הבראה,,,,26000,
14,6133|613|61|6,1.613314.127,השתתפות באחזקת רכב02,,,,74000,
18,6133|613|61|6,1.613318.130,תשלומים מיוחדים,,,,72000,
11,6133|613|61|6,1.613311.181,מיסים וביטוח לאומי,,,,92000,
12,6133|613|61|6,1.613312.182,קופות גמל והשתלמות,,,,101000,
11,6133|613|61|6,1.613311.310,שעות נוספות רשומות,,,,9000,
12,6133|613|61|6,1.613312.433,ביטוח,,,,10000,
18,6133|613|61|6,1.613318.439,אחזקת בניני העיריה0השתתפות,,,,90000,
16,6133|613|61|6,1.613316.461,צרכי משרד,,,,9000,
18,6133|613|61|6,1.613318.463,טלפונים,,,,4000,
17,6133|613|61|6,1.613317.510,נסיעות  ואש ל,,,,1000,
11,6133|613|61|6,1.613311.521,הדרכה וכנסים,,,,2000,
12,6133|613|61|6,1.613312.522,גיבוש יחידתי,,,,1000,
15,6133|613|61|6,1.613315.541,אחזקת מכשירי קשר,,,,4000,
11,6133|613|61|6,1.613311.610,כיבודים,,,,1000,
14,6133|613|61|6,1.613314.670,סעיף שאינו חוזר,,,,0,
17,6133|613|61|6,1.613317.681,רכישת חומר ארכיוני וספרות עזר,,,,2000,
19,6133|613|61|6,1.613319.691,מערכות מידע ומחשוב,,,,60000,
11,6133|613|61|6,1.613311.781,תחזוקת המגנזה,,,,7000,
12,6133|613|61|6,1.613312.782,תחזוקת הארכיון,,,,11000,
13,6133|613|61|6,1.613313.783,שימור מסמכים,,,,2000,
15,6133|613|61|6,1.613315.785,דמי חבר,,,,1000,
16,6133|613|61|6,1.613316.786,גניזה ע י גורמי חוץ,,,,385000,
17,6133|613|61|6,1.613317.932,ציוד וריהוט משרדי,,,,6000,
19,6133|613|61|6,1.613319.934,ציוד תפעולי,,,,14000,
11,6134|613|61|6,1.613411.110,משכורת כוללת )עובדים להעברה01(,,,,763000,
17,6134|613|61|6,1.613417.124,החזר הוצאות,,,,24000,
19,6134|613|61|6,1.613419.126,הבראה,,,,23000,
11,6134|613|61|6,1.613411.127,השתתפות באחזקת רכב0 4,,,,105000,
15,6134|613|61|6,1.613415.130,תשלומים מיוחדים,,,,29000,
17,6134|613|61|6,1.613417.181,מיסים וביטוח לאומי,,,,128000,
18,6134|613|61|6,1.613418.182,קופות גמל והשתלמות,,,,162000,
17,6134|613|61|6,1.613417.310,שעות נוספות רשומות,,,,46000,
12,6134|613|61|6,1.613412.411,שכר דירה ותשלומי ועד בית,,,,517000,
16,6134|613|61|6,1.613416.431,מים,,,,1000,
18,6134|613|61|6,1.613418.433,ביטוח,,,,61000,
19,6134|613|61|6,1.613419.434,תקוני מבנים מתקנים ואינונטר,,,,43000,
11,6134|613|61|6,1.613411.435,חשמל ואנרגיה,,,,306000,
12,6134|613|61|6,1.613412.436,נקיון,,,,20000,
13,6134|613|61|6,1.613413.461,צרכי משרד,,,,25000,
14,6134|613|61|6,1.613414.462,ספרים ועתונים,,,,3000,
15,6134|613|61|6,1.613415.463,טלפונים,,,,55000,
16,6134|613|61|6,1.613416.464,דאר,,,,3000,
14,6134|613|61|6,1.613414.510,נסיעות,,,,2000,
17,6134|613|61|6,1.613417.521,הדרכה וכנסים,,,,10000,
19,6134|613|61|6,1.613419.531,אחזקת רכב,,,,7000,
11,6134|613|61|6,1.613411.532,ביטוח רכב,,,,11000,
13,6134|613|61|6,1.613413.534,דלק ושמן,,,,11000,
12,6134|613|61|6,1.613412.541,אחזקת מכשירי קשר,,,,35000,
17,6134|613|61|6,1.613417.610,כיבודים,,,,20000,
